qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
A-NP36	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	99.118	1020	2	7	3	1015	14	1033	0	1827
A-NP38	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.822	1019	6	6	12	1024	24	1042	0	1810
A-NP45	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.641	1030	5	9	4	1025	14	1042	0	1816
A-NP23	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.824	1020	4	8	8	1019	22	1041	0	1810
A-NP01	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.509	1018	3	2	1	1016	45	1062	0	1851
A-NP16	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.725	1020	3	10	6	1015	42	1061	0	1803
A-NP15	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.356	1034	7	10	1	1024	38	1071	0	1807
A-NP33	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.641	1030	5	9	8	1028	46	1075	0	1816
A-NP40	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.531	1021	2	13	3	1011	15	1034	0	1790
A-NP21	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	99.131	1036	6	3	9	1041	17	1052	0	1860
A-NP39	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.06	1031	8	12	5	1023	11	1041	0	1783
A-NP10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.926	1024	4	7	10	1026	7	1030	0	1823
A-NP44	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.498	1079	16	11	3	1070	42	1120	0	1832
A-NP12	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	99.115	1017	1	8	10	1019	7	1022	0	1821
A-NP28	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.356	1087	2	4	3	1086	44	1128	0	1964
A-NP18	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.462	1040	6	10	6	1035	42	1081	0	1823
A-NP26	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.548	1033	6	9	4	1027	9	1041	0	1816
A-NP41	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	99.025	1026	4	6	3	1022	17	1042	0	1834
A-NP13	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans	98.744	1035	6	7	1	1028	11	1045	0	1832
A-NP30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.634	1025	6	8	2	1018	8	1032	0	1808
A-NP43	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	99.22	1026	5	3	7	1029	17	1042	0	1847
A-NP11	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans	98.646	1034	7	7	2	1028	11	1044	0	1825
A-NP05	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.445	1082	3	3	3	1082	24	1104	0	1962
A-NP22	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	97.453	1021	12	14	16	1022	31	1051	0	1729
A-NP02	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.185	1047	7	12	3	1037	16	1062	0	1818
A-NP09	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.751	1041	5	8	7	1039	22	1062	0	1844
A-NP07	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.372	1044	5	12	1	1033	39	1081	0	1823
A-NP20	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.81	1050	4	19	2	1032	39	1088	0	1794
A-PK45	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.064	1033	13	7	4	1029	40	1072	0	1790
A-PK62	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.451	1033	6	10	4	1026	5	1037	0	1810
A-PK29	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.401	1002	2	4	4	1001	19	1020	0	1814
A-PK54	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	98.551	1035	6	9	2	1027	30	1064	0	1820
A-PK17	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.459	1038	8	8	2	1031	8	1045	0	1821
A-PK24	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.894	1092	8	15	5	1081	42	1133	0	1875
A-PK48	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	95.842	986	2	39	6	953	45	1029	0	1557
A-PK58	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.431	1020	4	12	8	1015	22	1041	0	1784
A-PK36	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	97.352	944	19	6	2	939	12	955	0	1600
A-PK50	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	97.64	1017	3	20	9	1004	46	1062	0	1725
A-PK61	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__reuszeri	98.835	1030	5	7	1	1024	37	1065	0	1829
A-PK26	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.761	1049	6	7	3	1044	18	1066	0	1858
A-PK40	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__cereus	98.531	1021	4	11	3	1013	43	1062	0	1792
A-PK30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.919	1018	3	8	7	1016	23	1040	0	1812
A-PK37	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.733	1026	3	10	4	1019	40	1065	0	1814
A-PK41	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.068	1035	12	8	4	1030	11	1045	0	1794
A-PK49	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	97.948	1072	9	13	6	1064	20	1091	0	1845
A-PK55	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.086	1045	4	16	3	1031	41	1085	0	1805
A-PK13	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.555	1038	3	12	1	1026	38	1075	0	1823
A-PK51	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.102	1002	3	6	8	1003	22	1023	0	1796
A-PK04	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	97.156	1055	12	18	8	1045	22	1075	0	1766
A-PK60	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.444	1028	7	9	5	1024	43	1069	0	1801
A-PK39	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.547	1032	6	9	7	1029	44	1075	0	1814
A-PK53	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	96.201	1132	12	30	3	1103	32	1163	0	1823
A-PK42	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.534	1023	7	8	11	1025	53	1075	0	1799
A-PK59	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	98.041	1021	6	14	3	1009	37	1057	0	1762
A-PK12	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.732	1025	2	11	1	1014	41	1065	0	1810
A-PK02	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	98.73	1024	4	9	1	1015	33	1056	0	1810
A-PK07	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.979	1039	15	6	1	1033	37	1075	0	1797
A-PK11	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	93.681	902	3	54	4	857	33	928	0	1301
A-PK15	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	98.436	1023	3	13	1	1010	32	1054	0	1788
A-PK16	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.23	1119	6	25	1	1094	40	1158	0	1871
A-PK27	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.939	1037	6	5	1	1033	40	1075	0	1849
A-PK25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	98.353	1032	9	8	1	1024	32	1063	0	1805
A-PK23	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	97.295	1109	10	19	1	1089	9	1117	0	1864
A-PK47	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	98.548	1033	6	9	1	1024	32	1064	0	1816
A-PK34	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.635	1026	5	9	1	1017	40	1065	0	1808
A-PK09	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.817	1014	4	8	1	1007	40	1052	0	1799
A-PK21	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__reuszeri	95.547	1078	20	28	2	1054	35	1109	0	1700
A-PK38	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.745	1036	2	11	2	1026	40	1075	0	1831
A-PK06	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.854	1047	5	7	2	1041	40	1086	0	1860
A-PK31	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.026	1027	1	9	2	1020	40	1065	0	1832
A-PK18	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.745	1036	2	11	2	1026	40	1075	0	1831
A-PK20	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	96.831	1073	7	27	2	1047	31	1103	0	1768
A-PK19	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	99.02	1020	3	7	3	1015	32	1051	0	1821
A-PK01	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.191	995	5	13	3	986	11	1003	0	1725
A-PK52	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.401	1001	2	4	3	999	21	1021	0	1812
A-PK44	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	97.832	1061	9	14	10	1057	11	1070	0	1820
A-PK32	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	96.12	1134	10	34	4	1103	20	1153	0	1820
A-PK33	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	96.325	1143	12	30	3	1115	19	1161	0	1851
A-PK28	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.145	1078	4	16	4	1065	9	1086	0	1866
A-PK43	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__cereus	97.371	1103	17	12	15	1105	1	1103	0	1866
A-PK35	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	96.914	1134	9	26	3	1110	19	1152	0	1877
A-PK10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	94.314	897	12	39	3	860	32	928	0	1338
A-PK57	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.784	1038	11	12	2	1027	38	1075	0	1779
A-PK56	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.758	1047	5	8	2	1040	16	1062	0	1855
A-PK22	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	97.886	1088	13	10	2	1079	19	1106	0	1873
A-PK05	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.184	1046	5	14	1	1032	8	1053	0	1814
A-PK46	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.634	1025	3	11	1	1014	17	1041	0	1805
A-PK14	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	96.08	1148	7	37	1	1110	31	1178	0	1836
A-PK08	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.534	1023	3	12	1	1011	8	1030	0	1796
A-PK03	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.815	1013	2	10	13	1015	1	1013	0	1796
A-NPK06	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	97.222	1008	16	12	4	1001	31	1036	0	1696
A-NPK38	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__reuszeri	98.722	1017	6	7	6	1016	37	1052	0	1799
A-NPK36	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	97.668	1072	10	15	5	1061	30	1101	0	1827
A-NPK30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	97.4	1077	8	20	2	1059	15	1090	0	1816
A-NPK20	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.926	916	3	16	5	917	1	903	0	1572
A-NPK13	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	97.326	1122	12	18	13	1116	1	1122	0	1890
A-NPK07	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	96.946	1015	14	17	4	1007	18	1026	0	1687
A-NPK29	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.728	1022	3	10	2	1013	9	1030	0	1807
A-NPK26	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.278	1045	10	8	2	1038	18	1062	0	1823
A-NPK25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.928	1026	4	7	3	1021	40	1065	0	1827
A-NPK01	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__	98.447	1030	7	8	4	1024	32	1061	0	1805
A-NPK24	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.517	1036	4	1	13	1048	1	1035	0	1884
A-NPK39	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__laterosporus	98.897	997	5	6	23	1013	1	997	0	1775
A-NPK10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.002	1101	6	16	3	1087	42	1142	0	1897
A-NPK11	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.33	1018	6	11	3	1009	38	1055	0	1775
A-NPK02	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.772	1077	11	13	5	1069	40	1115	0	1844
A-NPK27	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans	98.899	1090	3	7	1	1084	41	1127	0	1938
A-NPK18	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.025	1026	1	9	1	1017	40	1065	0	1831
A-NPK37	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__	99.119	1021	7	2	2	1021	8	1027	0	1838
A-NPK19	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.246	1026	3	15	2	1012	40	1065	0	1781
A-NPK16	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.261	1035	10	8	2	1028	11	1045	0	1805
A-NPK03	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.842	1036	1	11	2	1026	40	1075	0	1836
A-NPK08	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	94.84	969	10	40	12	940	55	1023	0	1476
A-NPK31	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	98.068	1035	6	14	3	1025	32	1064	0	1788
A-NPK09	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.547	1032	2	13	3	1023	1	1030	0	1810
A-NPK23	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	98.022	1112	8	14	13	1110	1	1112	0	1919
A-NPK14	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	95.724	1146	11	38	3	1110	39	1184	0	1810
A-NPK15	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	99.295	993	3	4	19	1007	43	1035	0	1792
A-NPK05	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.551	1035	4	11	4	1027	40	1074	0	1818
A-NPK22	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	94.797	961	6	44	13	929	55	1015	0	1458
A-NPK12	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.516	1033	5	0	14	1046	1	1033	0	1881
A-NPK21	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.266	1038	10	8	1	1031	39	1075	0	1810
A-NPK04	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.928	1026	1	10	1	1016	39	1064	0	1825
A-NPK34	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__reuszeri	97.358	1060	15	13	21	1067	3	1062	0	1790
A-NPK17	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.634	1025	1	13	3	1014	41	1065	0	1803
A-NK46	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.973	1036	7	14	4	1025	40	1075	0	1784
A-NK45	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.548	1033	5	10	16	1038	53	1085	0	1816
A-NK47	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	96.909	1100	13	21	8	1086	44	1143	0	1823
A-NK56	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.466	1043	7	9	4	1037	1	1043	0	1829
A-NK26	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.252	1030	8	10	10	1029	46	1075	0	1794
A-NK34	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.475	1049	3	13	2	1037	38	1086	0	1836
A-NK15	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.538	1026	2	13	4	1016	39	1064	0	1799
A-NK48	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.463	1041	6	10	10	1040	46	1086	0	1825
A-NK37	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.071	1037	6	14	4	1026	39	1075	0	1792
A-NK51	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.263	1036	6	12	3	1026	40	1075	0	1803
A-NK29	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.686	1037	8	16	3	1024	40	1075	0	1768
A-NK62	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.341	1025	8	9	2	1017	38	1062	0	1790
A-NK28	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.77	1076	10	14	2	1064	38	1112	0	1842
A-NK06	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.069	1036	8	12	2	1025	40	1075	0	1792
A-NK32	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.075	1039	11	9	3	1033	40	1077	0	1799
A-NK61	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.844	1038	6	6	3	1036	40	1075	0	1845
A-NK18	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.733	1026	2	11	3	1017	40	1065	0	1812
